ocel:eid;ocel:org:resource;ocel:concept:name;ocel:type:event;ocel:click:coorX;ocel:click:coorY;ocel:screenshot:screenW;ocel:screenshot:screenH;ocel:screenshot:name;header;ocel:timestamp;FileName;FileCompany;FileDescription;CommandLine;ActionNumber;Pid;ProgramId;FileId;FileVersion
12;User1;"User left click on ""File Explorer - 1 running window (button)""";Mouse Left Click;464;1054;1920;1080;screenshot0013.JPEG;MASIA CARRION, LIONEL;10:00:23;EXPLORER.EXE;Microsoft Corporation;Windows Explorer;EXPLORER.EXE  /LOADSAVEDWINDOWS;13;1440;0000f519feec486de87ed73cb92d3cac802400000000;000008a3589a9016172702c75f16fe3c694b90942514;10.0.19041.2311 (WinBuild.160101.0800)
13;User1;"User left double click on ""Name (edit)"" in ""covid_entry_point""";Mouse Left Double Click;456;388;1920;1080;screenshot0014.JPEG;MASIA CARRION, LIONEL;10:00:24;EXPLORER.EXE;Microsoft Corporation;Windows Explorer;EXPLORER.EXE  /LOADSAVEDWINDOWS;14;1440;0000f519feec486de87ed73cb92d3cac802400000000;000008a3589a9016172702c75f16fe3c694b90942514;10.0.19041.2311 (WinBuild.160101.0800)
14;User1;"User left click on ""Search by first name, last name, birthdate or id (edit)"" in ""UMC HR Management Platform - Google Chrome""";Mouse Left Click;1484;190;1920;1080;screenshot0015.JPEG;MASIA CARRION, LIONEL;10:00:28;CHROME.EXE;Google LLC;Google Chrome;CHROME.EXE  --INCOGNITO;15;636;000652d5cb245d5f0247aa925403de126a2100000904;0000950b016899eff0a4bef659d163f52fb92a528109;113.0.5672.93
15;User1;"User left click on ""Open (split button)"" in ""Open""";Mouse Left Click;1750;504;1920;1080;screenshot0016.JPEG;MASIA CARRION, LIONEL;10:00:19;CHROME.EXE;Google LLC;Google Chrome;CHROME.EXE  --TYPE=UTILITY --UTILITY-SUB-TYPE=CHROME.MOJOM.UTILWIN --LANG=EN-US --SERVICE-SANDBOX-TYPE=NONE --MOJO-PLATFORM-CHANNEL-HANDLE=4512 --FIELD-TRIAL-HANDLE=1940,I,12517537696226441075,2549750398892976775,262144 /PREFETCH:8;16;8788;000652d5cb245d5f0247aa925403de126a2100000904;0000950b016899eff0a4bef659d163f52fb92a528109;113.0.5672.93
16;User1;"User left click on ""UMC HR Management Platform - Employee details (document)"" in ""UMC HR Management Platform - Employee details - Google Chrome""";Mouse Left Click;1814;116;1920;1080;screenshot0017.JPEG;MASIA CARRION, LIONEL;10:00:21;CHROME.EXE;Google LLC;Google Chrome;CHROME.EXE  --INCOGNITO;17;636;000652d5cb245d5f0247aa925403de126a2100000904;0000950b016899eff0a4bef659d163f52fb92a528109;113.0.5672.93
17;User1;"User left click on ""File Explorer - 1 running window (button)""";Mouse Left Click;464;1054;1920;1080;screenshot0018.JPEG;MASIA CARRION, LIONEL;10:00:23;EXPLORER.EXE;Microsoft Corporation;Windows Explorer;EXPLORER.EXE  /LOADSAVEDWINDOWS;18;1440;0000f519feec486de87ed73cb92d3cac802400000000;000008a3589a9016172702c75f16fe3c694b90942514;10.0.19041.2311 (WinBuild.160101.0800)
18;User1;"User left double click on ""Name (edit)"" in ""covid_entry_point""";Mouse Left Double Click;456;388;1920;1080;screenshot0019.JPEG;MASIA CARRION, LIONEL;10:00:24;EXPLORER.EXE;Microsoft Corporation;Windows Explorer;EXPLORER.EXE  /LOADSAVEDWINDOWS;19;1440;0000f519feec486de87ed73cb92d3cac802400000000;000008a3589a9016172702c75f16fe3c694b90942514;10.0.19041.2311 (WinBuild.160101.0800)
19;User1;"User left click on ""Search by first name, last name, birthdate or id (edit)"" in ""UMC HR Management Platform - Google Chrome""";Mouse Left Click;1484;190;1920;1080;screenshot0020.JPEG;MASI;10:00:28;CHROME.EXE;Google LLC;Google Chrome;CHROME.EXE  --INCOGNITO;20;636;000652d5cb245d5f0247aa925403de126a2100000904;0000950b016899eff0a4bef659d163f52fb92a528109;113.0.5672.93
20;User1;"User left click on ""Open (split button)"" in ""Open""";Mouse Left Click;1750;504;1920;1080;screenshot0021.JPEG;MUNIZ CANALA, ANA;10:00:19;CHROME.EXE;Google LLC;Google Chrome;CHROME.EXE  --TYPE=UTILITY --UTILITY-SUB-TYPE=CHROME.MOJOM.UTILWIN --LANG=EN-US --SERVICE-SANDBOX-TYPE=NONE --MOJO-PLATFORM-CHANNEL-HANDLE=4512 --FIELD-TRIAL-HANDLE=1940,I,12517537696226441075,2549750398892976775,262144 /PREFETCH:8;21;8788;000652d5cb245d5f0247aa925403de126a2100000904;0000950b016899eff0a4bef659d163f52fb92a528109;113.0.5672.93
21;User1;"User left click on ""UMC HR Management Platform - Employee details (document)"" in ""UMC HR Management Platform - Employee details - Google Chrome""";Mouse Left Click;1814;116;1920;1080;screenshot0022.JPEG;MUNIZ CANALA, ANA;10:00:21;CHROME.EXE;Google LLC;Google Chrome;CHROME.EXE  --INCOGNITO;22;636;000652d5cb245d5f0247aa925403de126a2100000904;0000950b016899eff0a4bef659d163f52fb92a528109;113.0.5672.93
22;User1;"User left click on ""File Explorer - 1 running window (button)""";Mouse Left Click;464;1054;1920;1080;screenshot0023.JPEG;MUNIZ CANALA, ANA;10:00:23;EXPLORER.EXE;Microsoft Corporation;Windows Explorer;EXPLORER.EXE  /LOADSAVEDWINDOWS;23;1440;0000f519feec486de87ed73cb92d3cac802400000000;000008a3589a9016172702c75f16fe3c694b90942514;10.0.19041.2311 (WinBuild.160101.0800)
23;User1;"User left double click on ""Name (edit)"" in ""covid_entry_point""";Mouse Left Double Click;456;388;1920;1080;screenshot0024.JPEG;MUNIZ CANALA, ANA;10:00:24;EXPLORER.EXE;Microsoft Corporation;Windows Explorer;EXPLORER.EXE  /LOADSAVEDWINDOWS;24;1440;0000f519feec486de87ed73cb92d3cac802400000000;000008a3589a9016172702c75f16fe3c694b90942514;10.0.19041.2311 (WinBuild.160101.0800)
24;User1;"User left click on ""Search by first name, last name, birthdate or id (edit)"" in ""UMC HR Management Platform - Google Chrome""";Mouse Left Click;1484;190;1920;1080;screenshot0025.JPEG;MUNIZ CANALA, ANA;10:00:28;CHROME.EXE;Google LLC;Google Chrome;CHROME.EXE  --INCOGNITO;25;636;000652d5cb245d5f0247aa925403de126a2100000904;0000950b016899eff0a4bef659d163f52fb92a528109;113.0.5672.93
